class,NLL Loss,accuracy,precision,recall
gaussian_noise,6.7661529064178465,0.23281250000000003,0.15046733697695666,0.23281250000000003
inverse,38.441041278839116,0.055371093749999996,0.006040889908886009,0.055371093749999996
quantize,0.13193430874962356,0.9587890625,0.9601808248308645,0.9587890625
rotate,0.7808983318507672,0.7788085937499999,0.7976894393029107,0.7788085937499999
glass_blur,0.692600743472576,0.7477539062499999,0.8288399025887349,0.7477539062499999
impulse_noise,4.2346596777439105,0.30810546875,0.44772698747249084,0.30810546875
scale,0.9774733290076254,0.6520507812499999,0.7862077725207658,0.6520507812499999
identity,0.12390593695454301,0.9628906249999999,0.9645570769545644,0.9628906249999999
speckle_noise,0.16701423511840396,0.9539062500000001,0.9563630499838537,0.9539062500000001
translate,6.541884160041809,0.20546875,0.215066067408632,0.20546875
saturate,7.932127094268798,0.25546875,0.14944822610612427,0.25546875
frost,15.977148413658139,0.1568359375,0.11217623985265629,0.1568359375
shot_noise,0.17499179188162095,0.9494140624999999,0.9517261193328302,0.9494140624999999
motion_blur,1.7064405113458634,0.5109375,0.6963580948776557,0.5109375
defocus_blur,0.9235924363136291,0.6359374999999999,0.7862430545837753,0.6359374999999999
elastic_transform,2.011247494816781,0.610546875,0.6630974337406962,0.610546875
zigzag,2.4074347347021106,0.5583984375,0.648845243409336,0.5583984375
brightness,16.012956666946412,0.18203125,0.1032573993330029,0.18203125
canny_edges,1.4161920964717867,0.548046875,0.6561688357689249,0.548046875
zoom_blur,0.8407694742083547,0.76884765625,0.8273006484699603,0.76884765625
line,1.6233289133757356,0.6181640624999999,0.7144706930273338,0.6181640624999999
fog,14.781308484077453,0.12392578125,0.06111238033546592,0.12392578125
shear,0.4363222662359477,0.8707031250000001,0.8836390812994925,0.8707031250000001
dotted_line,1.201503150165081,0.6840820312499999,0.7663147144592083,0.6840820312499999
spatter,1.9647069752216342,0.572265625,0.7016833398444322,0.572265625
contrast,7.515204310417176,0.16523437500000004,0.07171085979811419,0.16523437500000004
snow,11.522360849380494,0.19833984375,0.12855826915851515,0.19833984375
pixelate,0.3651275712996721,0.8785156249999998,0.9033056092975277,0.8785156249999998
gaussian_blur,0.6291839919984341,0.7654296874999998,0.8526758487439786,0.7654296874999998
pessimal_noise,3.734915328025817,0.39033203124999993,0.6296092997890524,0.39033203124999993
stripe,21.509751796722412,0.18798828125,0.09251950166451862,0.18798828125
jpeg_compression,0.5083602823317049,0.84306640625,0.8765428941551239,0.84306640625
